Interval=	0.0025 s
ExcelDateTime=	4.3516511156525536e+004	2/20/2019 12:16:03.923806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
31.65	-125.95
31.6525	-124.95
31.655	-139.2875
31.6575	-160.775
31.66	-171.6062
31.6625	-168.025
31.665	-163.2
31.6675	-164.5313
31.67	-165.0375
31.6725	-155.625
31.675	-135.7125
31.6775	-114.6
31.68	-105.5062
31.6825	-114.075
31.685	-130.8062
31.6875	-146
31.69	-155.7937
31.6925	-154.1375
31.695	-141.1062
31.6975	-124.3187
31.7	-107.2125
31.7025	-94.95625
31.705	-96.26875
31.7075	-106.4812
31.71	-114.0875
31.7125	-114.2562
31.715	-107.8313
31.7175	-99.26875
31.72	-94.76875
31.7225	-98.15625
31.725	-109.5437
31.7275	-123.2875
31.73	-126.6937
31.7325	-111.7187
31.735	-86.63125
31.7375	-67.38125
31.74	-62.35625
31.7425	-70.98125
31.745	-91.225
31.7475	-115.9812
31.75	-129.2437
31.7525	-122.4625
31.755	-107.2875
31.7575	-97.9625
31.76	-95.51875
31.7625	-96.38125
31.765	-99.53125
31.7675	-101.9875
31.77	-98.2875
31.7725	-86.13125
31.775	-69.93125
31.7775	-58.25
31.78	-53.90625
31.7825	-52.06875
31.785	-50.40625
31.7875	-51.01875
31.79	-53.84375
31.7925	-57.25625
31.795	-56.0375
31.7975	-38.98125
31.8	-5.34375
31.8025	26.075
31.805	38.49375
31.8075	35.9375
31.81	30.40625
31.8125	25.11875
31.815	17.0875
31.8175	7.75
31.82	3.35
31.8225	6.9875
31.825	16.40625
31.8275	26.70625
31.83	32.33125
31.8325	28.69375
31.835	16.3375
31.8375	1.54375
31.84	-7.40625
31.8425	-7.38125
31.845	-1.31875
31.8475	10.11875
31.85	27.1625
31.8525	42.85625
31.855	48.85625
31.8575	46.525
31.86	43.025
31.8625	42.55
31.865	43.975
31.8675	44.6
31.87	45.6
31.8725	49.28125
31.875	54.84375
31.8775	61.39375
31.88	68.8625
31.8825	75.50625
31.885	78.75625
31.8875	77.59375
31.89	73.56875
31.8925	70.45
31.895	77.4375
31.8975	100.175
31.9	125.75
31.9025	135.2188
31.905	126.0312
31.9075	109.7437
31.91	96.175
31.9125	87.7625
31.915	80.8375
31.9175	73.75
31.92	70.95
31.9225	77.5875
31.925	91.95625
31.9275	105.5562
31.93	111.2937
31.9325	107.85
31.935	97.325
31.9375	83.83125
31.94	73.225
31.9425	69.33125
31.945	71.4
31.9475	77.00625
31.95	85.79375
31.9525	96.39375
31.955	104.7562
31.9575	107.1687
31.96	104.5375
31.9625	102.0875
31.965	102.2312
31.9675	103.4375
31.97	104.3375
31.9725	106.7437
31.975	111.4937
31.9775	119.6187
31.98	132.8687
31.9825	144.0625
31.985	141.9
31.9875	128.2562
31.99	117.2063
31.9925	115.575
31.995	122.7625
31.9975	136.0938
32	146.7312
32.0025	145.1312
32.005	131.9063
32.0075	113.9062
32.01	95.19375
32.0125	81.35625
32.015	79.49375
32.0175	89.65625
32.02	103.375
32.0225	112.8875
32.025	117.6937
32.0275	119.85
32.03	118.2312
32.0325	111.6687
32.035	102.6625
32.0375	95.525
32.04	93
32.0425	95.55625
32.045	103.025
32.0475	113.8938
32.05	123.1
32.0525	125.9125
32.055	123.15
32.0575	118.4812
32.06	113.8875
32.0625	111.2
32.065	110.5312
32.0675	108.4875
32.07	104.0687
32.0725	102.3
32.075	105.425
32.0775	109.6687
32.08	113.8062
32.0825	118.6812
32.085	122.0875
32.0875	118.8437
32.09	110.3062
32.0925	106.6687
32.095	111.8938
32.0975	118.1687
32.1	121.4062
32.1025	124.3375
32.105	124.1562
32.1075	116.2625
32.11	104.2187
32.1125	96.35625
32.115	96.825
32.1175	102.9687
32.12	109.375
32.1225	113.375
32.125	116.1438
32.1275	119.0687
32.13	120.25
32.1325	116.0375
32.135	106.4
32.1375	97.81875
32.14	96.725
32.1425	101.8938
32.145	106.6625
32.1475	107.9375
32.15	107.5375
32.1525	106.0875
32.155	102.7187
32.1575	99.09375
32.16	97.23125
32.1625	94.9625
32.165	89.7625
32.1675	83.99375
32.17	82.93125
32.1725	87.05
32.175	91.94375
32.1775	94.90625
32.18	95.6
32.1825	93.14375
32.185	87.0875
32.1875	77.625
32.19	67.60625
32.1925	64.51875
32.195	75.7625
32.1975	99.1375
32.2	120.3125
32.2025	126.8125
32.205	119.6187
32.2075	107.55
32.21	96.8125
32.2125	90.54375
32.215	88.6375
32.2175	88.48125
32.22	88.475
32.2225	88.55
32.225	90.74375
32.2275	96.41875
32.23	101.5937
32.2325	100.5937
32.235	92.7625
32.2375	81.7
32.24	72.5
32.2425	68.9875
32.245	69.4375
32.2475	69.2625
32.25	66.19375
32.2525	59.65625
32.255	51.15625
32.2575	44.73125
32.26	43.09375
32.2625	45.43125
32.265	49.20625
32.2675	51.39375
32.27	50.01875
32.2725	45.36875
32.275	39.7875
32.2775	36.14375
32.28	35.98125
32.2825	38.95625
32.285	43.36875
32.2875	46.13125
32.29	44.86875
32.2925	41.575
32.295	39.80625
32.2975	40.475
32.3	41.8125
32.3025	41.08125
32.305	37.29375
32.3075	33.46875
32.31	32.8125
32.3125	34.64375
32.315	36.48125
32.3175	35.80625
32.32	31.73125
32.3225	26.6
32.325	24.20625
32.3275	25.675
32.33	29.1125
32.3325	32.125
32.335	31.3625
32.3375	25.46875
32.34	17.5125
32.3425	12.33125
32.345	11.91875
32.3475	15.34375
32.35	21.675
32.3525	30.3875
32.355	38.4375
32.3575	41.69375
32.36	39.275
32.3625	31.78125
32.365	22.3
32.3675	17.9375
32.37	21.10625
32.3725	26.375
32.375	30.075
32.3775	33.45
32.38	37.2375
32.3825	39.68125
32.385	39.00625
32.3875	36.28125
32.39	34.70625
32.3925	36.68125
32.395	42.7125
32.3975	51.225
32.4	58.76875
32.4025	62.25
32.405	61.225
32.4075	56.29375
32.41	48.70625
32.4125	40.8875
32.415	34.48125
32.4175	29.6875
32.42	27.65625
32.4225	28.66875
32.425	29.7375
32.4275	28.51875
32.43	25.38125
32.4325	21.675
32.435	18.43125
32.4375	15.6
32.44	12.90625
32.4425	12.1625
32.445	15.6375
32.4475	20.9625
32.45	22.5125
32.4525	19.3875
32.455	16.84375
32.4575	18.15
32.46	21.3375
32.4625	23.75625
32.465	24.40625
32.4675	23.3875
32.47	20.31875
32.4725	15.34375
32.475	11.79375
32.4775	13.38125
32.48	19.125
32.4825	25.3125
32.485	29.63125
32.4875	30.70625
32.49	28.20625
32.4925	24.00625
32.495	21.6
32.4975	21.925
32.5	21.60625
32.5025	18.85
32.505	16.08125
32.5075	16.1875
32.51	19.4
32.5125	23.525
32.515	26.49375
32.5175	27.9875
32.52	26.71875
32.5225	21.78125
32.525	16.975
32.5275	16.025
32.53	17.25
32.5325	16.38125
32.535	10.725
32.5375	2.26875
32.54	-3.275
32.5425	-2.63125
32.545	1.36875
32.5475	3.68125
32.55	2.075
32.5525	-2.68125
32.555	-8.41875
32.5575	-12.14375
32.56	-12.08125
32.5625	-9.925
32.565	-9.14375
32.5675	-11.38125
32.57	-13.44375
32.5725	-10.05
32.575	-1.15625
32.5775	8.025
32.58	13.225
32.5825	13.85
32.585	12.275
32.5875	10.85625
32.59	9.44375
32.5925	8.0875
32.595	8.6625
32.5975	10.6625
32.6	11.475
32.6025	10.84375
32.605	10.41875
32.6075	10.1625
32.61	8.025
32.6125	1.825
32.615	-7.73125
32.6175	-16.05625
32.62	-19.5375
32.6225	-17.875
32.625	-12.1375
32.6275	-5.03125
32.63	-0.4875
32.6325	0.09375
32.635	-1.425
32.6375	-2.425
32.64	-1.2
32.6425	2.13125
32.645	5.41875
32.6475	5.86875
32.65	2.65625
32.6525	-2.49375
32.655	-6.4375
32.6575	-6.01875
32.66	-1.58125
32.6625	2.4625
32.665	4.45625
32.6675	6.6875
32.67	8.425
32.6725	7.7
32.675	7.7125
32.6775	11.69375
32.68	15.66875
32.6825	14.3625
32.685	9.075
32.6875	5.66875
32.69	7.35625
32.6925	10.25
32.695	7.9625
32.6975	0.975
32.7	-4.6625
32.7025	-6.4625
32.705	-7.25625
32.7075	-10.35625
32.71	-15.9625
32.7125	-21.175
32.715	-24.6125
32.7175	-27.3375
32.72	-28.15
32.7225	-25.63125
32.725	-22.56875
32.7275	-20.63125
32.73	-17.06875
32.7325	-11
32.735	-5.1375
32.7375	-1.6125
32.74	0.7
32.7425	3.775
32.745	8.325
32.7475	12.975
32.75	13.48125
32.7525	5.7875
32.755	-6.375
32.7575	-13.375
32.76	-12.65625
32.7625	-10.85625
32.765	-12.4125
32.7675	-13.6125
32.77	-10.9125
32.7725	-7.2875
32.775	-5.7
32.7775	-6.3375
32.78	-10.6
32.7825	-18.2375
32.785	-25.25
32.7875	-29.6375
32.79	-32.25625
32.7925	-32.40625
32.795	-28.5125
32.7975	-21.04375
32.8	-13.73125
32.8025	-10.83125
32.805	-13.50625
32.8075	-18.64375
32.81	-21.83125
32.8125	-22.6375
32.815	-23.2125
32.8175	-23.425
32.82	-22.45
32.8225	-21.7375
32.825	-22.33125
32.8275	-22.5125
32.83	-19.3375
32.8325	-13.4125
32.835	-10.23125
32.8375	-12.0125
32.84	-14.125
32.8425	-12.90625
32.845	-9.81875
32.8475	-6.9
32.85	-3.99375
32.8525	-1.85625
32.855	-3.18125
32.8575	-8.50625
32.86	-14.125
32.8625	-16.7125
32.865	-16.78125
32.8675	-17.28125
32.87	-20.24375
32.8725	-24.45
32.875	-27
32.8775	-27.84375
32.88	-29.36875
