Frequency(Hz),EEG(V≤)
0,2.37E-11
0.390625,4.10E-11
0.78125,2.52E-11
1.17188,9.45E-12
1.5625,1.67E-12
1.95312,1.23E-12
2.34375,2.28E-12
2.73438,2.17E-12
3.125,1.95E-12
3.51562,1.85E-12
3.90625,1.36E-12
4.29688,7.85E-13
4.6875,4.20E-13
5.07812,2.17E-13
5.46875,4.54E-13
5.85938,1.05E-12
6.25,1.29E-12
6.64062,9.19E-13
7.03125,4.80E-13
7.42188,6.72E-13
7.8125,1.34E-12
8.20312,1.33E-12
8.59375,1.41E-12
8.98438,6.27E-12
9.375,1.82E-11
9.76562,2.97E-11
10.1562,3.02E-11
10.5469,1.96E-11
10.9375,7.84E-12
11.3281,1.86E-12
11.7188,4.58E-13
12.1094,1.85E-13
12.5,2.11E-14
12.8906,7.11E-14
13.2812,1.14E-13
13.6719,9.85E-14
14.0625,2.13E-13
14.4531,4.04E-13
14.8438,4.51E-13
15.2344,2.90E-13
15.625,7.56E-14
16.0156,6.63E-15
16.4062,8.86E-14
16.7969,1.35E-13
17.1875,6.46E-14
17.5781,1.96E-14
17.9688,1.03E-13
18.3594,2.03E-13
18.75,1.84E-13
19.1406,8.44E-14
19.5312,3.61E-14
19.9219,8.90E-14
20.3125,1.86E-13
20.7031,2.41E-13
21.0938,2.18E-13
21.4844,1.53E-13
21.875,1.06E-13
22.2656,9.18E-14
22.6562,8.10E-14
23.0469,5.96E-14
23.4375,3.76E-14
23.8281,2.40E-14
24.2188,1.73E-14
24.6094,1.25E-14
25,6.98E-15
25.3906,2.24E-15
25.7812,8.93E-16
26.1719,3.39E-15
26.5625,9.32E-15
26.9531,1.67E-14
27.3438,2.07E-14
27.7344,2.07E-14
28.125,2.40E-14
28.5156,3.17E-14
28.9062,3.10E-14
29.2969,1.66E-14
29.6875,2.83E-15
30.0781,1.95E-15
30.4688,1.03E-14
30.8594,2.19E-14
31.25,3.12E-14
31.6406,3.07E-14
32.0312,2.16E-14
32.4219,1.46E-14
32.8125,1.64E-14
33.2031,2.91E-14
33.5938,4.79E-14
33.9844,5.27E-14
34.375,3.25E-14
34.7656,8.82E-15
35.1562,4.67E-15
35.5469,1.42E-14
35.9375,2.71E-14
36.3281,4.57E-14
36.7188,6.10E-14
37.1094,5.42E-14
37.5,2.97E-14
37.8906,1.35E-14
38.2812,2.05E-14
38.6719,4.46E-14
39.0625,6.60E-14
39.4531,6.34E-14
39.8438,3.80E-14
